Source:,C:\Users\Kolijn\Temp\ttntrackernode\schematic\v3\gps_node.sch,,,,,,,,,,
Date:,2018/11/27 15:08:40,,,,,,,,,,
Tool:,Eeschema (5.0.1)-3,,,,,,,,,,
Generator:,C:\Program Files\KiCad\bin\scripting\plugins/bom_csv_grouped_by_value_with_fp.py,,,,,,,,,,
Component Count:,86,,,,,,,,,,
Ref,Qnty,Value,Cmp name,Footprint,Description,Vendor,,Digikey,,RS,
"C4, C22, C29, C28, C20, C17, C7, C8, C9, C10, C11, C12, C23, C24, C13, C25, C27, ",17,100nF,C-Device,Capacitor_SMD:C_0805_2012Metric,,,,311-1361-1-ND ,0.16,,
"C14, C15, ",2,22pF,C,Capacitor_SMD:C_0805_2012Metric,Unpolarized capacitor,,,399-8036-1-ND ,0.14,,
"C16, ",1,1uF,C-Device,Capacitor_SMD:C_0805_2012Metric,,,,399-1284-1-ND,0.17,,
"C18, C21, C30, C2, C6, C5, C3, C26, ",8,4.7uF,C-Device,Capacitor_SMD:C_0805_2012Metric,,,,,,,
"C19, C1, ",2,NFM21HC105R1C3D,C_Feedthrough,gps_node_components:C_FEEDTHROUGH_0805,,,,490-11839-1-ND,0.47,,
"C31, ",1,C_Feedthrough,C_Feedthrough,gps_node_components:C_FEEDTHROUGH_0805,Feedthrough capacitor,,,490-11839-1-ND,0.47,,
"D1, D5, D6, ",3,BAS K73,D_Small,Diode_SMD:D_SOT-23_ANK,,,,,, 738-4822,0.56
"D2, ",1,LED_Dual_CCAA,LED_Dual_CCAA-led_dual_ccaa,dual_led:LED_DUAL_1206,,,,492-1245-1-ND,0.68,,
"D4, D3, ",2,LED,LED-Device,LED_SMD:LED_0805_2012Metric_Pad1.15x1.40mm_HandSolder,,,,475-1278-1-ND ,0.38,,
,,,,,,,,475-1410-1-ND ,0.36,,
"F1, ",1,Polyfuse,Polyfuse,gps_node_components:bourns polyfuse,,,,,, 647-8184,6.833
"IC1, ",1,MCP73831/2,MCP73831_2,Package_TO_SOT_SMD:SOT-23-5,,,,MCP73831T-2ACI/OTCT-ND ,0.58,,
"J1, J2, J3, J4, ",4,Mounting Hole,Conn_01x01,MountingHole:MountingHole_3.2mm_M3_ISO14580_Pad,,,DNP,,,,
"J5, ",1,TEST Vbatt,Conn_01x01,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,DNP,,,,
"J6, ",1,USB_OTG,USB_OTG,gps_node_components:Molex_Microusb,,,,WM1399CT-ND ,0.97,,
"J7, ",1,Test 3.3v,Conn_01x01,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,DNP,,,,
"J8, ",1,Test Gnd,Conn_01x01,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,DNP,,,,
"J9, ",1,Test V_bak,Conn_01x01,Connector_PinHeader_2.54mm:PinHeader_1x01_P2.54mm_Vertical,,,DNP,,,,
"J11, ",1,AVR ICSP,Conn_02x03_Odd_Even,Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical,,,DNP,,,,
"J12, ",1,UART RF,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,DNP,,,,
"J13, ",1,LIPO_BAT,Conn_01x02,Connector_PinHeader_2.00mm:PinHeader_1x02_P2.00mm_Vertical,,,,455-1704-ND,0.17,,
"J15, ",1,UART GPS,Conn_01x03,Connector_PinHeader_2.54mm:PinHeader_1x03_P2.54mm_Vertical,,,DNP,,,,
"J16, ",1,FW_UPDATE,Conn_01x06,Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical,,,DNP,,,,
"J17, ",1,u.FL connector,Conn_Coaxial,gps_node_components:CONN-RF-UFL,,,,,, 557-981,10.932
"R3, R2, ",2,220,R-Device,Resistor_SMD:R_0805_2012Metric,,,,311-220ARCT-ND ,0.1,,
"R4, R5, ",2,22,R-Device,Resistor_SMD:R_0805_2012Metric,,,,311-22.0CRCT-ND,0.1,,
"R6, R11, R10, ",3,10k,R-Device,Resistor_SMD:R_0805_2012Metric,,,,311-10KARCT-ND,0.1,,
"R13, R12, ",2,1k,R-Device,Resistor_SMD:R_0805_2012Metric,,,,311-1.0KARCT-ND,0.1,,
"R14, ",1,2k,R_Small,Resistor_SMD:R_0805_2012Metric,,,,311-2.0KARCT-ND,0.1,,
"R16, R15, ",2,100k,R-Device,Resistor_SMD:R_0805_2012Metric,,,,311-100KCRCT-ND ,0.1,,
"R18, R17, ",2,470,R,Resistor_SMD:R_0805_2012Metric,,,,311-470ARCT-ND ,0.1,,
"SW1, ",1,Switch,SW_SPDT,EG1224:EG1224_Switch,,,,EG2585-ND,0.77,,
"SW3, SW2, ",2,SW_Push,SW_Push-Switch,Button_Switch_SMD:SW_SPST_PTS645,,,DNP,,,,
"TP3, TP4, TP7, TP5, TP6, TP8, TP2, TP1, ",8,TestPoint,TestPoint-Connector,test_pad:test_pad,,,DNP,,,,
"U1, U3, ",2,TLV71333PDBV,TLV71333PDBV,Package_TO_SOT_SMD:SOT-23-5,,,,296-35591-1-ND,0.42,,
"U2, ",1,ublox-cam-m8q-0,ublox-cam-m8q-0,drawn_by_jpmeijers:ublox-cam-m8q-0,,,,672-1013-1-ND,35.15,,
"U4, ",1,ATMEGA32U4-AU,ATMEGA32U4-AU,Package_QFP:TQFP-44_10x10mm_P0.8mm,,,,ATMEGA32U4-AU-ND,4.12,,
"U5, ",1,RN2483,RN2483,drawn_by_jpmeijers:RN2483,,,,RN2483A-I/RM104-ND,13.18,,
"U6, ",1,LIS3DH,LIS3DH-STM-LISxxx,Package_LGA:LGA-16_3x3mm_P0.5mm_LayoutBorder3x5y,,,,497-10613-1-ND ,0.79,,
"Y1, ",1,16MHz,Crystal,gps_node_components:QC3CA_16MHz,,,,644-1178-1-ND,1.03,,
,,,,,,,,,,,
,4,Hex Standoffs M3 Nylon 5mm,,,,,,RPC1483-ND,0.65,,
,4,Mach Screw Pan slotted M3x0.5,,,,,,36-29341-ND,0.2,,
,1,Antenna,,https://za.rs-online.com/web/p/telemetry-antennas/7934363/,,,,,,,
,1,SMA Cable & Antenna,,https://www.robotics.org.za/UFL-SMA-868MHZ,,,,,,,
,1,Battery,,https://www.robotics.org.za/503562?search=battery,,,,,,,
