Reference, Quantity, Value, Footprint, Datasheet, Manufacturer,Component,Supplier,Supplier Link,Price,MOQ,,
C1 ,1,10uF,Capacitors_SMD:C_1206,,,,Mantech,http://www.mantech.co.za/ProductInfo.aspx?Item=99M120814,1.13,1,,
C14 C15 ,2,22pF,Capacitors_SMD:C_0805,,,,Mantech,http://www.mantech.co.za/ProductInfo.aspx?Item=35M4035,0.39,10,,0.78
C16 ,1,1uF,Capacitors_SMD:C_0805,,,,Mantech,http://www.mantech.co.za/ProductInfo.aspx?Item=35M3856,0.58,1,,0.58
C19 C3 C5 C6 ,4,4.7uF,Capacitors_SMD:C_0805,,,,Mantech,http://www.mantech.co.za/ProductInfo.aspx?Item=35M1581,0.12,10,,0.48
C10 C11 C12 C13 C17 C18 C2 C20 C7 C8 C9 ,11,100nF,Capacitors_SMD:C_0805,,,,Mantech,http://www.mantech.co.za/ProductInfo.aspx?Item=35M1227,0.33,10,,3.63
D1 D2 D3,3,D_Small,,,,,RS,https://za.rs-online.com/web/p/rectifier-schottky-diodes/7384822/,0.578,25,,1.734
D4 D5,2,D_Small,,,,,RS,https://za.rs-online.com/web/p/rectifier-schottky-diodes/7033543/,1.848,20,,3.696
D6 ,1,LED_Small_ALT,LEDs:LED_0805,,,,RS,https://za.rs-online.com/web/p/visible-leds/4860480/,1.194,25,,1.194
D7 D8 ,2,LED,LEDs:LED_0805,,,,RS,https://za.rs-online.com/web/p/visible-leds/4860519/,1.244,25,,2.488
F1 ,1,Polyfuse,,,,"Bourns 0.75A Surface Mount Resettable Fuse,",RS,https://za.rs-online.com/web/p/resettable-surface-mount-fuses/6478184/,2.87,10,,2.87
IC1 ,1,MMA8452Q,,,,"NXP MMA8452QT, 3-Axis Accelerometer",RS,https://za.rs-online.com/web/p/accelerometer-ics/8016876/,28.31,5,,28.31
IC2 ,1,MCP73831/2,TO_SOT_Packages_SMD:SOT-23-5,,Microchip Technology,Voltage Regulator,RS,https://za.rs-online.com/web/p/battery-charge-controller-ics/7386360/,45.33,5,,45.33
J1 ,1,USB_OTG,,,,,RS,https://za.rs-online.com/web/p/micro-usb-connectors/8486764/,6.57,1,,6.57
J11 ,1,TEST Vbatt,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,,0
J12 ,1,Test 3.3v,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,,0
J13 ,1,Test Gnd,Socket_Strips:Socket_Strip_Straight_1x01_Pitch2.54mm,,,,,,,,,0
J14 ,1,UART RF,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm_SMD_Pin1Left,,,,,,,,,0
J15 ,1,I2C GPS,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm_SMD_Pin1Left,,,,,,,,,0
J16 ,1,UART GPS,Pin_Headers:Pin_Header_Straight_1x03_Pitch2.54mm_SMD_Pin1Left,,,,,,,,,0
J17 ,1,GPIO_0,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left,,,,,,,,,0
J18 ,1,GPIO_1,Pin_Headers:Pin_Header_Straight_1x02_Pitch2.54mm_SMD_Pin1Left,,,,,,,,,0
J2 ,1,AVR ICSP,,,,,,,,,,0
J3 ,1,LIPO_BAT,,,,,,,,,,0
J4 ,1,SOLAR,,,,,,,,,,0
J5 ,1,FW_UPDATE,,,,,,,,,,0
J6 ,1,SMA,Microwave:SMA,,,Radio Solutions Right Angle SMA Connector,RS,https://za.rs-online.com/web/p/sma-connectors/7839647/,,,,0
